location,date,description,image,map,tags
St Louis MO,07/14/2025,"Got in a nice and easy Sunday ride in a pretty empty Downtown St Louis. Aside from a light crowd around Busch Stadium for a long rain-delayed game, the city was a ghosttown. I got to ride around the Arch, watch some of the game from outside sitting on my bike, ride the warf, Union Station. Nice little ride.",/assets/img/brags/StLouis-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2403267836/embed?share_token=a6dkd04EDYHUZ74ob5FrNXMg3qfABX8ABCsKC3BP3h28N0rBEC&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",MIssouri
Broken Arrow OK,07/13/2025,Cool little ride in a cool little Oklahoma town,/assets/img/brags/BrokenArrow-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2401427823/embed?share_token=alY3Tg65j0MDPCJHAKunH7zN6liJcGiS0h3fu87iG26Y5u2f7y&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",Oklahoma
Colorado Springs CO,07/11/2025,Awesome early morning ride. Old Colorado Springs. Manitou Springs. Garden of the Gods. I could ride around there all day. Highlight...I rode across a fun little bike resort. Might be a fun place for a future stay.,/assets/img/brags/GardenOfGods-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2395256929/embed?share_token=aNQ8UN4Vs8Hq6vrq0GXAGBVxP91i56QxRA6FXGqsYI9Bzl9RQT&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",Colorado
Moab UT,07/06/2025,"BUCKET LIST RIDE!!! I've been riding this route via a video on my Peleton for years. Today, I finally got to actually ride it and IT. WAS. AWESOME.",/assets/img/brags/Moab-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2384510073/embed?share_token=ar9us9W0Lj2sj2K8Ak1cCHJve6VMcTK6mRqlKDgvcBjVw7Yfmn&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>","Utah, Bucket List"
Park City UT,06/04/2025,"A festive 4th of July ride around a cool mountain resort town that incuded a little more climbing than I expected and ended with a drove show. I still prefer firewors, but it was a cool day.",/assets/img/brags/ParkCity-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2378792887/embed?share_token=a5XFocooI0oOBL0mSx2ZO69Kdt2BVQUfD3QvEMoOuXMuWRyVdo&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",Utah
Grand Teton NP,07/03/2025,So many fantastic views!,/assets/img/brags/GrandTeton-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2376211880/embed?share_token=aCJ9Tc5frufdrJvsjlFNrXrnE3TbgF4kVQxbapYpmmbmnAwXyA&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Medora ND,06/30/2025,"I've been wanting to ride Mah Dah Hey for a long time and it did not disappoint. I followed a trip I mapped at on Komoot. At want point, the map took me to what i thought would be a bridge a bridge across the Little Missouri River. When I got there...no bridge. It was close to dark and riding back the way I cam would have added about 10 miles, so I took off my boots, tied them around my neck and swam my bile across the river. Loved every minute of it.",/assets/img/brags/MaahDaahHey-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2369615081/embed?share_token=aHZe9s9OlDmyWKfFr1pFv51W9hBu4FSWd1Mp31neRoVDid13c1&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Black Hills SD,06/29/2025,"Another bucket list ride in the bag. I want later in the day after a rain storm and the road was surprisingly quiet. The ride up was incredible. On the way back down, I stopped to take a picture of one of the tunnels. As I was putting my phone back on my bike, I saw a cougar peak it's head thru the tunnel. Ughhhh! I waited for a car to drive the tunnel before I built up the nerve to do it myself.",/assets/img/brags/Needles-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2367416337/embed?share_token=awHaC7fuKPWjD3NDeeR7SsGIIFfsnok6zHemXHn2NlEYhbsZgy&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Souix Falls SD,06/27/2025,Souix Falls is one of my faovrite towns. There are great paths to ride and always tons to see. The falls are incredible and I'll ride there any chance I get. It reminds me a lot of Richmond bult around the James River.,/assets/img/brags/SiouxFalls-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2361264231/embed?share_token=a4ca9zCzCpj3KbcncoQNZhzwSOxOrC83M22Av6ozgQTnank0OV&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Virginia Beach VA,06/26/2025,I lived in Virginia Beach a couple summers in college and I always love going back. tons of great places to ride. It's changes soooo much since my day.,/assets/img/brags/VaBeach-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2265429180/embed?share_token=apX0wSMO0Orzz6KJ9Pigphf9Ok8D4n1IPlH8eUolwvlg1DrXVt&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
